city,team1,team2,toss_winner,toss_decision,winner,eliminator,method
NA,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,field,Mumbai Indians,N,normal
NA,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,N,normal
NA,Delhi Capitals,Punjab Kings,Delhi Capitals,field,Delhi Capitals,N,D/L
NA,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,bat,Sunrisers Hyderabad,N,normal
NA,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,bat,Chennai Super Kings,N,normal
NA,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,N,D/L
NA,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,N,normal
NA,Chennai Super Kings,Delhi Capitals,Delhi Capitals,bat,Delhi Capitals,N,normal
NA,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,field,Rajasthan Royals,Y,normal
NA,Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore,bat,Punjab Kings,N,normal
NA,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,N,normal
NA,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,bat,Delhi Capitals,N,normal
NA,Punjab Kings,Rajasthan Royals,Punjab Kings,bat,Punjab Kings,N,normal
NA,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,N,normal
NA,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,bat,Mumbai Indians,N,normal
NA,Delhi Capitals,Rajasthan Royals,Delhi Capitals,bat,Rajasthan Royals,N,normal
NA,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,bat,Royal Challengers Bangalore,N,normal
NA,Punjab Kings,Mumbai Indians,Punjab Kings,bat,Punjab Kings,N,normal
NA,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,N,normal
NA,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,Chennai Super Kings,N,normal
NA,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,bat,Mumbai Indians,N,normal
NA,Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,N,normal
NA,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,bat,Rajasthan Royals,N,normal
NA,Chennai Super Kings,Delhi Capitals,Delhi Capitals,field,Chennai Super Kings,N,normal
NA,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,bat,Punjab Kings,N,normal
NA,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,bat,Royal Challengers Bangalore,N,normal
